order id,customer id,product id,order status,payment id,purchase date,shipping id,'loyalty':'rating','quantity':'cost'
89,1085,SMARTPHONE_SKU1001,Completed,2,10/11/2023,3,'No': '5','1': '4.189729272'
90,1085,TABLET_SKU1002,Completed,2,5/2/2024,4,'No': '3','3': '55.75928829'
91,1086,SMARTPHONE_SKU1001,Completed,5,7/1/2024,4,'No': '5','8': '3.724203797'
92,1089,SMARTPHONE_SKU1004,Completed,4,8/9/2024,3,'No': '2','5': '140.9156075'
93,1090,TABLET_SKU1002,Cancelled,4,5/4/2024,3,'No': '3','3': '62.72919932'
94,1091,SMARTWATCH_SKU1003,Cancelled,3,3/22/2024,3,'Yes': '3','2': '77.65840257'
95,1093,SMARTPHONE_SKU1004,Completed,3,4/27/2024,3,'No': '2','9': '140.9156075'
96,1094,SMARTPHONE_SKU1001,Completed,4,5/7/2024,4,'No': '5','1': '3.724203797'
97,1096,SMARTPHONE_SKU1001,Completed,5,12/13/2023,1,'Yes': '5','2': '3.770756345'
98,1096,LAPTOP_SKU1005,Completed,2,5/15/2024,4,'No': '3','10': '121.6796261'
99,1097,TABLET_SKU1002,Completed,5,3/25/2024,3,'No': '3','4': '62.72919932'
100,1099,SMARTPHONE_SKU1004,Cancelled,3,10/9/2023,1,'No': '2','2': '126.8240468'
101,1099,LAPTOP_SKU1005,Cancelled,5,5/31/2024,4,'No': '3','3': '121.6796261'
102,1100,TABLET_SKU1002,Completed,3,2/29/2024,3,'Yes': '3','3': '62.72919932'
103,1100,SMARTWATCH_SKU1003,Completed,3,5/19/2024,4,'Yes': '3','4': '69.02969117'
104,1101,SMARTPHONE_SKU1001,Completed,2,10/9/2023,1,'Yes': '5','10': '3.770756345'
105,1101,SMARTPHONE_SKU1004,Cancelled,3,10/25/2023,4,'No': '2','1': '125.2583178'
106,1101,SMARTPHONE_SKU1001,Completed,2,5/23/2024,4,'No': '5','2': '3.724203797'
107,1101,SMARTPHONE_SKU1001,Completed,5,7/23/2024,3,'No': '5','3': '4.189729272'
108,1102,SMARTPHONE_SKU1001,cancelle,5,8/6/2024,3,'No': '5','8': '4.189729272'
109,1105,TABLET_SKU1002,Completed,4,9/20/2024,4,'No': '3','6': '55.75928829'
110,1109,LAPTOP_SKU1005,Cancelled,4,3/25/2024,4,'No': '3','4': '121.6796261'
111,1109,SMARTPHONE_SKU1001,completed,4,7/13/2024,4,'Yes': '5','9': '3.724203797'
112,1110,SMARTPHONE_SKU1001,Completed,3,7/11/2024,3,'No': '5','10': '4.189729272'
113,1112,TABLET_SKU1002,Completed,5,2/15/2024,4,'No': '3','9': '55.75928829'
114,1112,TABLET_SKU1002,Completed,5,6/19/2024,3,'No': '3','9': '62.72919932'
115,1114,SMARTPHONE_SKU1004,Completed,5,1/31/2024,4,'No': '2','6': '125.2583178'
116,1115,SMARTPHONE_SKU1004,Cancelled,2,12/30/2023,4,'No': '2','1': '125.2583178'
117,1115,SMARTWATCH_SKU1003,Completed,5,6/4/2024,4,'Yes': '3','1': '69.02969117'
118,1115,TABLET_SKU1002,Completed,4,9/10/2024,1,'No': '3','1': '56.45627939'
119,1116,LAPTOP_SKU1005,Cancelled,5,1/10/2024,4,'No': '3','9': '121.6796261'
120,1116,LAPTOP_SKU1005,Completed,2,5/20/2024,3,'No': '3','9': '136.8895794'
121,1117,SMARTWATCH_SKU1003,completed,4,3/6/2024,4,'No': '3','2': '69.02969117'
122,1119,TABLET_SKU1002,Completed,3,1/12/2024,1,'No': '3','6': '56.45627939'
123,1120,SMARTPHONE_SKU1001,Completed,4,12/13/2023,3,'Yes': '5','9': '4.189729272'
124,1120,SMARTPHONE_SKU1001,Cancelled,3,2/25/2024,3,'No': '5','5': '4.189729272'
125,1122,SMARTPHONE_SKU1004,Cancelled,5,9/15/2024,3,'Yes': '2','7': '140.9156075'
126,1123,SMARTWATCH_SKU1003,Cancelled,3,4/9/2024,4,'Yes': '3','8': '69.02969117'
127,1123,SMARTPHONE_SKU1004,Completed,4,8/12/2024,1,'Yes': '2','1': '126.8240468'
128,1124,LAPTOP_SKU1005,Completed,3,2/12/2024,4,'No': '3','4': '121.6796261'
129,1124,LAPTOP_SKU1005,completed,4,2/26/2024,1,'Yes': '3','8': '123.2006214'
130,1124,SMARTPHONE_SKU1004,Completed,5,9/5/2024,4,'No': '2','4': '125.2583178'
131,1125,SMARTWATCH_SKU1003,Completed,4,1/8/2024,3,'No': '3','7': '77.65840257'
132,1125,LAPTOP_SKU1005,Completed,2,8/24/2024,1,'No': '3','8': '123.2006214'
133,1127,SMARTWATCH_SKU1003,Completed,5,12/6/2023,3,'No': '3','8': '77.65840257'
134,1127,SMARTPHONE_SKU1001,Cancelled,5,3/22/2024,3,'No': '5','8': '4.189729272'
135,1129,SMARTPHONE_SKU1001,Cancelled,2,12/9/2023,4,'Yes': '5','1': '3.724203797'
136,1130,SMARTPHONE_SKU1004,Completed,4,11/4/2023,3,'Yes': '2','6': '140.9156075'
137,1132,SMARTPHONE_SKU1001,Completed,2,5/2/2024,1,'Yes': '5','6': '3.770756345'
138,1133,LAPTOP_SKU1005,Completed,2,3/27/2024,3,'No': '3','3': '136.8895794'
139,1133,SMARTWATCH_SKU1003,Completed,4,7/6/2024,1,'Yes': '3','8': '69.89256231'
140,1134,SMARTPHONE_SKU1004,Completed,5,12/1/2023,3,'Yes': '2','8': '140.9156075'
141,1134,LAPTOP_SKU1005,Completed,4,12/22/2023,4,'No': '3','2': '121.6796261'
142,1134,LAPTOP_SKU1005,Cancelled,4,6/10/2024,3,'No': '3','8': '136.8895794'
143,1134,SMARTPHONE_SKU1004,Completed,5,7/22/2024,1,'No': '2','9': '126.8240468'
144,1136,SMARTWATCH_SKU1003,Completed,3,12/14/2023,4,'No': '3','1': '69.02969117'
145,1139,SMARTPHONE_SKU1004,Cancelled,4,9/21/2024,4,'No': '2','8': '125.2583178'
146,1141,SMARTPHONE_SKU1001,Completed,5,12/2/2023,3,'No': '5','1': '4.189729272'
147,1141,LAPTOP_SKU1005,Completed,3,12/30/2023,1,'No': '3','3': '123.2006214'
148,1141,LAPTOP_SKU1005,Completed,4,4/14/2024,1,'No': '3','8': '123.2006214'
149,1142,LAPTOP_SKU1005,Completed,2,10/26/2023,1,'No': '3','9': '123.2006214'
150,1143,SMARTWATCH_SKU1003,Completed,2,12/6/2023,3,'No': '3','4': '77.65840257'
151,1144,SMARTWATCH_SKU1003,completed,4,2/26/2024,4,'No': '3','1': '69.02969117'
152,1145,SMARTPHONE_SKU1001,Completed,2,1/19/2024,4,'No': '5','4': '3.724203797'
153,1145,SMARTPHONE_SKU1001,Completed,5,5/23/2024,3,'No': '5','3': '4.189729272'
154,1145,SMARTWATCH_SKU1003,Cancelled,4,9/13/2024,3,'No': '3','6': '77.65840257'
155,1147,SMARTWATCH_SKU1003,Completed,2,7/19/2024,4,'Yes': '3','10': '69.02969117'
156,1148,TABLET_SKU1002,Completed,2,3/5/2024,1,'Yes': '3','10': '56.45627939'
157,1148,LAPTOP_SKU1005,Cancelled,3,3/14/2024,1,'No': '3','2': '123.2006214'
158,1148,SMARTPHONE_SKU1004,Completed,5,8/17/2024,1,'No': '2','5': '126.8240468'
159,1149,SMARTWATCH_SKU1003,Completed,4,10/30/2023,4,'No': '3','4': '69.02969117'
160,1149,SMARTPHONE_SKU1001,Cancelled,5,7/6/2024,3,'No': '5','5': '4.189729272'
161,1149,SMARTPHONE_SKU1001,Completed,3,8/11/2024,3,'Yes': '5','4': '4.189729272'
162,1150,SMARTPHONE_SKU1004,Completed,4,3/16/2024,3,'No': '2','7': '140.9156075'
163,1151,TABLET_SKU1002,Completed,5,4/10/2024,3,'No': '3','5': '62.72919932'
164,1151,SMARTPHONE_SKU1001,Cancelled,2,7/18/2024,3,'No': '5','8': '4.189729272'
165,1152,SMARTPHONE_SKU1001,Completed,2,2/10/2024,3,'No': '5','6': '4.189729272'
166,1154,LAPTOP_SKU1005,Completed,3,9/9/2024,4,'No': '3','1': '121.6796261'
167,1155,SMARTWATCH_SKU1003,completed,4,3/17/2024,3,'No': '3','7': '77.65840257'
168,1155,SMARTPHONE_SKU1004,Completed,2,5/22/2024,3,'No': '2','5': '140.9156075'
169,1160,SMARTPHONE_SKU1001,Cancelled,4,9/4/2024,3,'Yes': '5','4': '4.189729272'
170,1162,SMARTWATCH_SKU1003,Cancelled,5,8/2/2024,4,'No': '3','4': '69.02969117'
171,1167,SMARTPHONE_SKU1001,Completed,5,12/5/2023,3,'Yes': '5','6': '4.189729272'
172,1168,LAPTOP_SKU1005,Cancelled,5,10/27/2023,4,'No': '3','3': '121.6796261'
173,1169,SMARTPHONE_SKU1004,Cancelled,3,10/3/2023,4,'No': '2','7': '125.2583178'
174,1169,LAPTOP_SKU1005,cancelle,3,5/23/2024,4,'Yes': '3','6': '121.6796261'
175,1170,SMARTPHONE_SKU1004,Completed,3,4/1/2024,4,'No': '2','7': '125.2583178'
176,1171,LAPTOP_SKU1005,Completed,4,10/8/2023,1,'Yes': '3','7': '123.2006214'
177,1171,LAPTOP_SKU1005,Completed,3,12/15/2023,4,'No': '3','9': '121.6796261'
178,1171,TABLET_SKU1002,Completed,2,8/6/2024,1,'No': '3','4': '56.45627939'
179,1171,TABLET_SKU1002,Completed,5,9/7/2024,4,'No': '3','3': '55.75928829'
180,1174,SMARTPHONE_SKU1001,Cancelled,2,2/11/2024,4,'Yes': '5','3': '3.724203797'
181,1174,TABLET_SKU1002,cancelled,3,8/13/2024,1,'No': '3','4': '56.45627939'
182,1175,SMARTWATCH_SKU1003,Cancelled,5,11/5/2023,1,'No': '3','1': '69.89256231'
183,1175,LAPTOP_SKU1005,Completed,3,9/17/2024,3,'No': '3','7': '136.8895794'
184,1177,LAPTOP_SKU1005,Completed,5,5/30/2024,4,'No': '3','6': '121.6796261'
185,1178,TABLET_SKU1002,Cancelled,3,4/23/2024,4,'No': '3','1': '55.75928829'
186,1180,SMARTWATCH_SKU1003,Completed,5,3/15/2024,3,'No': '3','9': '77.65840257'
187,1181,SMARTPHONE_SKU1004,Completed,5,8/4/2024,1,'No': '2','5': '126.8240468'
188,1182,SMARTPHONE_SKU1004,Completed,4,11/15/2023,1,'Yes': '2','5': '126.8240468'
189,1182,SMARTPHONE_SKU1004,Completed,4,11/17/2023,4,'No': '2','10': '125.2583178'
190,1183,LAPTOP_SKU1005,Cancelled,3,9/29/2023,1,'No': '3','1': '123.2006214'
191,1183,TABLET_SKU1002,Cancelled,5,9/18/2024,1,'Yes': '3','1': '56.45627939'
192,1184,LAPTOP_SKU1005,Completed,4,8/9/2024,3,'Yes': '3','3': '136.8895794'
193,1185,SMARTWATCH_SKU1003,Cancelled,2,2/6/2024,3,'No': '3','3': '77.65840257'
194,1186,TABLET_SKU1002,Cancelled,3,12/1/2023,3,'No': '3','1': '62.72919932'
195,1187,SMARTWATCH_SKU1003,Completed,4,2/2/2024,3,'No': '3','3': '77.65840257'
196,1188,SMARTPHONE_SKU1004,Completed,3,1/28/2024,1,'No': '2','3': '126.8240468'
197,1188,TABLET_SKU1002,Cancelled,3,8/21/2024,1,'Yes': '3','8': '56.45627939'
198,1189,TABLET_SKU1002,Completed,3,11/17/2023,3,'No': '3','2': '62.72919932'
199,1190,TABLET_SKU1002,Completed,2,12/3/2023,4,'No': '3','7': '55.75928829'
200,1190,SMARTWATCH_SKU1003,Completed,2,12/26/2023,3,'Yes': '3','8': '77.65840257'
201,1190,TABLET_SKU1002,Completed,2,8/10/2024,1,'No': '3','2': '56.45627939'
202,1192,SMARTPHONE_SKU1001,Completed,5,11/24/2023,4,'No': '5','2': '3.724203797'
203,1192,SMARTWATCH_SKU1003,Cancelled,2,2/25/2024,1,'No': '3','7': '69.89256231'
204,1192,SMARTPHONE_SKU1001,Cancelled,5,9/14/2024,4,'No': '5','10': '3.724203797'
205,1193,TABLET_SKU1002,completed,3,6/4/2024,3,'Yes': '3','2': '62.72919932'
206,1193,TABLET_SKU1002,Completed,5,8/18/2024,4,'No': '3','8': '55.75928829'
207,1194,TABLET_SKU1002,Completed,2,11/12/2023,3,'No': '3','2': '62.72919932'
208,1195,LAPTOP_SKU1005,Completed,3,10/13/2023,4,'No': '3','7': '121.6796261'
209,1196,LAPTOP_SKU1005,Cancelled,5,12/14/2023,1,'No': '3','8': '123.2006214'
210,1196,SMARTPHONE_SKU1004,Completed,2,4/7/2024,3,'No': '2','1': '140.9156075'
211,1196,LAPTOP_SKU1005,Complete,4,5/10/2024,3,'No': '3','1': '136.8895794'
212,1197,SMARTPHONE_SKU1001,Completed,3,5/10/2024,4,'Yes': '5','3': '3.724203797'
213,1197,SMARTWATCH_SKU1003,Completed,2,6/30/2024,1,'No': '3','5': '69.89256231'
214,1197,LAPTOP_SKU1005,cancelled,2,9/21/2024,3,'No': '3','9': '136.8895794'
215,1199,TABLET_SKU1002,Completed,4,7/11/2024,3,'Yes': '3','6': '62.72919932'
216,1203,SMARTPHONE_SKU1004,Cancelled,3,1/17/2024,1,'No': '2','6': '126.8240468'
217,1203,LAPTOP_SKU1005,Completed,3,4/30/2024,1,'No': '3','5': '123.2006214'
218,1205,TABLET_SKU1002,Completed,4,8/2/2024,1,'No': '3','7': '56.45627939'
219,1208,SMARTWATCH_SKU1003,Complete,4,7/25/2024,1,'No': '3','1': '69.89256231'
220,1210,SMARTWATCH_SKU1003,Completed,5,2/26/2024,1,'No': '3','10': '69.89256231'
221,1210,TABLET_SKU1002,cancelle,4,4/29/2024,4,'No': '3','3': '55.75928829'
222,1211,SMARTPHONE_SKU1001,Completed,2,1/4/2024,1,'Yes': '5','3': '3.770756345'
223,1211,TABLET_SKU1002,Completed,4,1/29/2024,4,'No': '3','9': '55.75928829'
224,1211,SMARTWATCH_SKU1003,Completed,2,7/7/2024,1,'No': '3','1': '69.89256231'
225,1212,SMARTWATCH_SKU1003,Cancelled,5,4/10/2024,4,'Yes': '3','8': '69.02969117'
226,1215,SMARTWATCH_SKU1003,Cancelled,5,12/18/2023,1,'No': '3','9': '69.89256231'
227,1215,SMARTPHONE_SKU1004,Cancelled,5,9/15/2024,4,'No': '2','9': '125.2583178'
228,1216,SMARTPHONE_SKU1004,Completed,2,9/20/2024,3,'Yes': '2','3': '140.9156075'
229,1217,SMARTPHONE_SKU1001,Completed,5,2/9/2024,3,'No': '5','5': '4.189729272'
230,1217,SMARTPHONE_SKU1001,Completed,2,2/15/2024,3,'Yes': '5','9': '4.189729272'
231,1217,SMARTWATCH_SKU1003,completed,2,3/22/2024,4,'No': '3','8': '69.02969117'
232,1217,SMARTPHONE_SKU1001,Completed,2,3/24/2024,3,'Yes': '5','10': '4.189729272'
233,1218,SMARTWATCH_SKU1003,Cancelled,4,12/29/2023,4,'No': '3','3': '69.02969117'
234,1220,SMARTWATCH_SKU1003,Cancelled,3,3/13/2024,1,'No': '3','10': '69.89256231'
235,1220,SMARTPHONE_SKU1001,Completed,2,8/8/2024,4,'Yes': '5','9': '3.724203797'
236,1222,SMARTWATCH_SKU1003,Completed,3,8/13/2024,1,'No': '3','10': '69.89256231'
237,1223,SMARTPHONE_SKU1001,Completed,2,3/8/2024,1,'No': '5','8': '3.770756345'
238,1224,SMARTPHONE_SKU1004,Cancelled,2,6/19/2024,1,'No': '2','5': '126.8240468'
239,1224,SMARTPHONE_SKU1004,Completed,2,6/28/2024,1,'No': '2','7': '126.8240468'
240,1226,LAPTOP_SKU1005,Cancelled,4,5/25/2024,4,'No': '3','2': '121.6796261'
241,1226,LAPTOP_SKU1005,Cancelled,3,8/18/2024,3,'No': '3','8': '136.8895794'
242,1227,SMARTPHONE_SKU1004,Completed,4,2/10/2024,4,'No': '2','2': '125.2583178'
243,1228,SMARTPHONE_SKU1004,Cancelled,5,10/18/2023,3,'No': '2','7': '140.9156075'
244,1229,TABLET_SKU1002,Cancelled,3,1/11/2024,4,'No': '3','2': '55.75928829'
245,1232,SMARTPHONE_SKU1004,Completed,2,2/23/2024,1,'Yes': '2','6': '126.8240468'
246,1234,SMARTWATCH_SKU1003,Completed,3,5/27/2024,1,'Yes': '3','5': '69.89256231'
247,1234,SMARTWATCH_SKU1003,Completed,4,9/23/2024,4,'No': '3','10': '69.02969117'
248,1235,SMARTPHONE_SKU1001,completed,3,8/22/2024,3,'No': '5','5': '4.189729272'
249,1236,SMARTPHONE_SKU1001,Cancelled,4,8/14/2024,1,'Yes': '5','9': '3.770756345'
250,1236,SMARTPHONE_SKU1004,Cancelled,5,9/1/2024,4,'No': '2','8': '125.2583178'
251,1237,TABLET_SKU1002,Complete,5,3/12/2024,3,'Yes': '3','4': '62.72919932'
252,1237,TABLET_SKU1002,Completed,5,4/6/2024,1,'Yes': '3','4': '56.45627939'
253,1244,TABLET_SKU1002,Cancelled,2,12/12/2023,4,'No': '3','6': '55.75928829'
254,1244,SMARTPHONE_SKU1004,Completed,3,2/5/2024,4,'No': '2','6': '125.2583178'
255,1244,SMARTPHONE_SKU1004,Cancelled,5,2/7/2024,1,'No': '2','4': '126.8240468'
256,1244,SMARTPHONE_SKU1001,Cancelled,3,5/23/2024,3,'Yes': '5','9': '4.189729272'
257,1244,TABLET_SKU1002,cancelle,2,7/23/2024,1,'No': '3','9': '56.45627939'
258,1245,SMARTWATCH_SKU1003,Cancelled,4,7/24/2024,4,'Yes': '3','7': '69.02969117'
259,1246,TABLET_SKU1002,Completed,5,1/5/2024,1,'No': '3','2': '56.45627939'
260,1247,SMARTPHONE_SKU1004,Cancelled,5,10/18/2023,4,'No': '2','4': '125.2583178'
261,1247,TABLET_SKU1002,Completed,3,5/25/2024,4,'No': '3','7': '55.75928829'
262,1248,TABLET_SKU1002,Cancelled,5,11/4/2023,4,'No': '3','3': '55.75928829'
263,1248,SMARTPHONE_SKU1001,Completed,3,2/15/2024,3,'No': '5','3': '4.189729272'
264,1248,LAPTOP_SKU1005,Cancelled,4,4/7/2024,1,'No': '3','8': '123.2006214'
265,1250,TABLET_SKU1002,Cancelled,5,10/14/2023,1,'Yes': '3','6': '56.45627939'
266,1250,SMARTPHONE_SKU1004,Cancelled,3,8/26/2024,4,'No': '2','5': '125.2583178'
267,1251,LAPTOP_SKU1005,Completed,2,6/13/2024,3,'Yes': '3','9': '136.8895794'
268,1252,SMARTPHONE_SKU1004,Completed,3,4/15/2024,3,'No': '2','10': '140.9156075'
269,1253,SMARTWATCH_SKU1003,Completed,5,12/27/2023,3,'No': '3','6': '77.65840257'
270,1253,SMARTPHONE_SKU1004,Completed,4,2/15/2024,3,'No': '2','10': '140.9156075'
271,1254,TABLET_SKU1002,Completed,3,3/16/2024,4,'No': '3','9': '55.75928829'
272,1255,SMARTPHONE_SKU1001,Completed,5,3/12/2024,4,'Yes': '5','10': '3.724203797'
